,Unnamed: 0,golf_name,before_name,핫딜,단독,num,classify01,hole_size,region,address,homepages,phone_num,green_fee(주중),green_fee(토요일),green_fee(일요일),green_fee(공휴일),cart_fee,caddie_fee
207,208,양주,,,1,310,회원제,18,경기,경기도 남양주시 화도읍 북한강로1525-52,http://www.yangjucc.co.kr/,031-592-6060,210000,270000,270000,270000,120000,140000
209,210,양지파인,,1,1,131,대중제,27,경기,경기도 용인시 처인구 양지면 남평로 112,http://www.pineresort.com/,031-329-9500,200000,250000,250000,250000,88000,150000
212,213,양평TPC,,,1,118,대중제,27,경기,경기 양평군 지평면 대평리 산 112,http://www.tpcgolf.co.kr/,031-772-4400,월별상이,월별상이,월별상이,월별상이,90000,150000
214,215,에덴밸리,,,,649,회원제,18,경남,경상남도 양산시 원동면 어실로 1206,http://golf.edenvalley.co.kr/,055-379-9000,189000,223000,223000,223000,88000,130000
215,216,에덴블루,,,,968,대중제,27,경기,경기도 안성시 죽산면 녹배길 175,http://www.edenblue.co.kr/index.asp,1588-7207,월별상이,월별상이,월별상이,월별상이,100000,150000 (3부 160000)
216,217,에버리스,,,,619,회원제,27,제주,제주특별자치도 제주시 애월읍 평화로 1693-75,http://www.everis.co.kr/,064-795-5000,130000,162000,162000,162000,90000,130000
217,218,에스앤 대천 (P9),,,,279,대중제,9,충남,충청남도 보령시 남포면 양항리 645-5번지,http://www.sngolfresort.co.kr/,041-934-0100,110000,150000,140000,150000,90000,140000(8/1~)
218,219,에이원,,,,648,회원제,27,경남,경상남도 양산시 매곡동 산1번지,http://www.aonecc.co.kr/,055-371-3500,190000,240000,240000,240000,92000,130000
219,220,엠스클럽의성,,,,273,대중제,27,경북,경상북도 의성군 봉양면 신평리 산 107번지,http://www.msclub.co.kr/main/main.asp,054-830-3300,120000,150000,150000,150000,90000,130000
220,221,여주,,,1,128,회원제,27,경기,경기도 여주시 월평로 78,http://www.yeojoocc.co.kr/index.asp,031-880-0123,170000,230000,220000,230000,100000,150000
222,223,여주 회원제,,,,1201,회원제,18,경기,경기 여주시 금사면 장흥로 416,http://www.ipocc.com/,031-880-9000,190000,250000,250000,250000,100000,130000
223,224,여주신라,,1,1,108,대중제,27,경기,경기도 여주시 북내면 신라그린길 84,http://www.shillacc.com/,031-886-3030,280000,280000,280000,280000,90000,150000
226,227,여주 블루헤런 골프클럽,,,,1376,회원제,18,경기,경기도 여주시 대신면 상구리 산11-1,http://www.blueheron.co.kr/,031-880-0700,200000,270000,270000,270000,90000,150000
227,228,오너스,,1,1,936,대중제,18,강원,강원도 춘천시 남산면 동촌로 667,http://www.ownersgc.co.kr/,033-260-1918,190000,250000,250000,250000,100000,140000
231,232,오렌지듄스송도,,1,,178,대중제,18,경기,인천광역시 연수구 인천신항대로 1120,http://www.orangedunes.com/index.asp,032-830-8888,월별상이,월별상이,월별상이,월별상이,90000,140000
233,234,오션비치,,,,173,대중제,27,경북,경상북도 영덕군 강구면 동해대로 4265-43,http://www.oceanbeachcc.com/,054-730-9000,월별상이,월별상이,월별상이,월별상이,100000,130000
234,235,오창에딘버러(P9),,,,511,대중제,9,충북,충청북도 청주시 청원구 오창읍 두릉유리로 846,http://www.ochangedincc.com/,043-210-1900,130000,170000,170000,170000,80000,1~2부 140000 / 3부 150000
235,236,오크밸리,,,,748,회원제,36,강원,강원도 원주시 지정면 오크밸리 1길 66,http://www.oakvalley.co.kr/,1588-7676,월별상이,월별상이,월별상이,월별상이,100000,130000
236,237,오크크릭(P9),,,,201,대중제,9,강원,강원도 원주시 지정면 오크밸리 1길 66,http://www.oakvalley.co.kr/oak_new/new_golfmain.asp,1588-7676,월별상이,월별상이,월별상이,월별상이,90000,노캐디
237,238,오크힐스,,1,,362,회원제,18,강원,강원도 원주시 지정면 오크밸리 1길 66,http://www.oakvalley.co.kr/oak_new/new_golfmain.asp,1588-7676,250000,290000,290000,290000,100000,130000
240,241,옥스필드,,,1,472,대중제,18,강원,강원도 횡성군 서원면 경강로유현6길 28,http://www.ilcc.co.kr/index.asp,033-340-7700,월별상이,월별상이,월별상이,월별상이,90000,12부 140000 / 3부 150000
242,243,올데이,,,1,1332,대중제,27,충북,충청북도 충주시 앙성면 돈산리 169번지,http://www.ilcc.co.kr/index.asp,043-853-5555,월별상이,월별상이,월별상이,월별상이,100000,12부 140000 / 3부 150000
244,245,올림픽(P9),,,,723,대중제,9,경기,경기도 고양시 덕양구 백제동 465,http://olympicsports.co.kr/,031-962-0101,월별상이,월별상이,월별상이,월별상이,100000,140000
245,246,용원,,,,647,회원제,27,경남,경상남도 창원시 진행구 가주로 133,http://www.ywcc.co.kr/,055-552-0080,월별상이,월별상이,월별상이,월별상이,90000,120000(3부 130000)
246,247,용인,,,1,340,대중제,18,경기,경기도 용인시 처인구 백암면 석천리 747-1,http://www.yongincc.com/,031-332-2980,월별상이,월별상이,월별상이,월별상이,90000,130000(15시 이후 140000)
248,249,우리들,,,,614,대중제,18,제주,제주특별자치도 서귀포시 산록남로 2914,http://wooridulresort.com/index.php,1577-0064,160000,220000,220000,220000,100000,130000
249,250,웰리힐리,,1,,179,회원제,36,강원,강원도 횡성군 둔내면 고원로 451,http://www.wellihillipark.com/golf,033-340-1588,월별상이,월별상이,월별상이,월별상이,100000,140000
251,252,의령 리온,,,,586,대중제,27,경남,경상남도 의령군 칠곡면 자굴산로 101-33,http://www.rieoncc.co.kr/index.asp,055-570-7000,월별상이,월별상이,월별상이,월별상이,80000,130000
252,253,이글몬트,,,,1562,대중제,27,경기,경기도 안성시 보삼로 106,http://www.eaglemontcc.co.kr/,312880900,월별상이,월별상이,월별상이,월별상이,100000,150000
253,254,이븐데일,,,,503,대중제,18,충북,충북 청주시 상당구 미원면 대신2길 31,http://www.evendale.co.kr/,043-288-1000,190000,240000,240000,240000,100000,140000(3부150000)
254,255,이지스카이,,,,1604,대중제,18,경북,경북 군위군 군위읍 대흥리 산 48,http://www.easyskycc.co.kr/,1833-6366,160000,190000,190000,190000,90000,130000
255,256,이천블랙스톤,이천명문회원제,1,,719,회원제,27,경기,경기도 이천시 장호원읍 풍계리 41-2,http://www.blackstoneresort.com/,031-643-2000,250000,280000,280000,280000,120000,150000
257,258,이포,,,1,330,회원제,18,경기,경기 여주시 금사면 장흥로 416,http://www.ipocc.com/,031-880-9000,220000,270000,270000,270000,100000,150000원
259,260,인서울27 단독,,,,1025,대중제,27,경기,서울특별시 강서구 오쇠동 1-2,http://www.inseoul27.co.kr/,02-6395-8000,월별 상이,월별 상이,월별 상이,월별 상이,90000,130000
260,261,인천그랜드,,,,104,대중제,18,경기,인천광역시 서구 원석로 195,http://www.incheongrand.cc/,032-584-3111,월별상이,월별상이,월별상이,월별상이,56000(모노레일),140000
261,262,일레븐,,1,1,1341,대중제,18,충북,충북 충주시 앙성면 본평리 산43-1,http://www.elevencc.co.kr/,043-880-3500,월별상이,월별상이,월별상이,월별상이,100000,140000 / 8월5일부터 15만
265,266,일죽 비공개 단독,썬 밸리 일죽,,,1204,대중제,18,충북,충북 음성군 삼성면 대사리 500-16,http://www.sunvalley.co.kr/main,043-881-5307,200000,260000,260000,260000,100000,140000
267,268,임페리얼레이크,,,,304,회원제,18,충북,충청북도 충주시 금가면 월상리 산95,http://www.ilcc.co.kr/,043-853-5555,월별상이,월별상이,월별상이,월별상이,100000,12부 140000 / 3부 150000
268,269,자유,,,,318,회원제,18,경기,경기도 여주시 가남읍 자유그린길 69,http://www.jayucc.co.kr/,031-887-7700,170000,240000,230000,240000,100000,150000
269,270,자유로,,,1,297,대중제,27,경기,경기도 연천군 백학면 학곡리 84,http://www.jayurocc.com/,031-839-1500,월별상이,월별상이,월별상이,월별상이,100000,140000
271,272,장수,,1,,215,대중제,18,전북,전라북도 장수군 계남면 궁양리 955,http://www.jangsugolf.com/,063-350-1000,월별상이,월별상이,월별상이,월별상이,80000,130000
273,274,정산,,,,646,회원제,27,경남,경상남도 김해시 주촌면 서부로1637번길 299-194,http://www.jeongsancc.co.kr/,055-338-8300,200000,250000,250000,250000,90000,130000
274,275,젠스필드(일죽),,,,504,대중제,18,충북,충청북도 음성군 삼성면 덕호로 382,http://www.zensfield.com/,1588-2911,200000,250000,250000,250000,100000,140000
275,276,죽향(P9),,,,1220,대중제,9,전남,전남 담양군 창평면 창평로 177,http://www.jhcc.co.kr/index.asp,061-382-7200,월~목 60000원 / 금 75000원,95000,95000,95000,80000,130000
276,277,중부,,,1,126,회원제,18,경기,경기 광주시 곤지암읍 경충대로 451,http://www.akdjbcc.co.kr/,031-762-6588,200000,270000,270000,270000,100000,150000
278,279,중원,,,1,315,대중제,27,충북,충청북도 충주시 산척면 인등로 392,http://www.joongwongolf.co.kr/,043-849-8000,월별상이,월별상이,월별상이,월별상이,80000,130000
280,281,진양밸리,,,,150,대중제,27,충북,충청북도 음성군 삼성면 금일로 1195,http://www.chinyangvalley.co.kr/,043-880-8000,일자별 공지요금,일자별 공지요금,일자별 공지요금,일자별 공지요금,100000,150000
281,282,천룡,,,,309,회원제,27,충북,충청북도 진천군 이월면 진안로 347-123,http://www.crcc.co.kr/,043-536-1001,190000,250000,250000,250000,90000,140000
282,283,천룡(P9),,,,303,대중제,9,충북,충청북도 진천군 이월면 진안로 347-123,http://www.crcc.co.kr/,043-536-2211,50000(9홀),70000(9홀),70000(9홀),70000(9홀),90000(18홀),140000(18홀)
283,284,천안상록,,,,675,대중제,36,충남,충남 천안시 수신면 수신로 576,http://www.sangnokresort.co.kr/,041-560-9100,129000,164000,164000,164000,60000,130000
284,285,캐슬렉스,,,1,314,회원제,18,경기,경기도 하남시 감이동 260-1번지,http://www.castlex-seoul.com/index.asp,02-480-5660,220000,270000,270000,270000,100000,130000
286,287,캐슬렉스제주,,,,610,회원제,18,제주,제주특별자치도 서귀포시 안덕면 평화로 1241,http://www.castlexjj.com/index.php,064-793-6630,146000,186000,186000,186000,90000,130000
287,288,캐슬파인,,,,124,대중제,18,경기,경기도 여주시 강천면 부평로 580,http://www.castlepine.co.kr/,031-880-8680,월별상이,월별상이,월별상이,월별상이,90000,150000
288,289,코리아,,,,210,회원제,27,경기,경기도 용인시 처인구 이동면 기흥단지로 579,http://www.kgav.com/,02-777-2167,200000,270000,270000,270000,100000,150000(3부 160000)
289,290,코리아(P9),,,,117,대중제,9,경기,경기도 용인시 기흥구 고매동 279-13,http://www.koreapublic.co.kr/,031-286-9500,65000(9홀),80000(9홀),80000(9홀),80000(9홀),44000,70000
290,291,코스카,,,,143,대중제,27,충북,충청북도 음성군 음성읍 동음로 318,http://www.koscacc.kr/,043-870-1000,월별상이,월별상이,월별상이,월별상이,90000,130000
291,292,큐로,,,,343,대중제,27,경기,경기도 광주시 곤지암읍 오향길 180,http://www.curocc.com/,031-799-6001,월별상이,월별상이,월별상이,월별상이,90000,150000
293,294,크리스탈밸리,,,,953,회원제,18,경기,경기도 가평군 상면 대보간선로 602-111,http://www.crystalvalley.co.kr/,02-737-0189,210000,270000,270000,270000,100000(18홀) 150000(27홀),150000(18홀) 210000(27홀)
294,295,클럽디거창,,,,1282,대중제,27,경남,경상남도 거창군 신원면 감악산로 436-58,http://www.clubd.com/geochang/index.do,055-945-2222,월별상이,월별상이,월별상이,월별상이,90000,140000(8/1~)
295,296,클럽디금강,,,,127,대중제,18,전북,전라북도 익산시 웅포면 강변로 130 (주)에메랄드골프리조트,http://www.clubd.co.kr/geumgang/index.do,063-720-7777,월별상이,월별상이,월별상이,월별상이,90000,130000
296,297,클럽디보은,,,,839,대중제,18,충북,충청북도 보은군 보은읍 장속중초로 386,http://www.clubd.co.kr/,043-540-8888,월별상이,월별상이,월별상이,월별상이,80000,130000
297,298,클럽디속리산,,,,142,대중제,18,충북,충청북도 보은군 탄부면 상장리 산30번지,http://www.clubd.co.kr/songnisan/index.do,043-540-8000,148000,198000,198000,198000,80000,130000
298,299,클럽모우,,1,1,1473,대중제,27,강원,강원도 홍천군 서면 장락동길 111,http://www.clubmow.com/,033-439-9001,183000,243000,243000(2부 213000),243000,100000,140000
301,302,킹스데일,,,,102,대중제,18,충북,충청북도 충주시 주덕읍 기업도시3로 2,http://www.kingsdale.co.kr/,043-870-4100,월별상이,월별상이,월별상이,월별상이,90000,140000
302,303,킹즈락,,,,289,대중제,27,충북,충북 제천시 천남동 282-1,http://kingsrockcc.com/,043-640-9000,월별상이,월별상이,월별상이,월별상이,90000,140000(드라이빙캐디 90000원)
303,304,타이거,,1,,878,대중제,18,경기,경기도 파주시 법원읍 웅담리 105-3,http://www.tigercc.co.kr/,031-958-8900,월별상이,월별상이,월별상이,월별상이,90000,140000
305,306,태광,,,,136,회원제,27,경기,경기도 용인시 기흥구 흥덕4로 77,http://www.taekwangcc.co.kr/,1877-6001,210000,270000,270000,270000,"100000/팀
/25000/1인",150000(5/1~)
306,307,통도파인이스트,,,,697,회원제,36,경남,경상남도 양산시 하북면 신평남부길 78-130,http://www.tongdocc.co.kr/,055-370-1300,월별상이,월별상이,월별상이,월별상이,90000,130000
307,308,통영동원로얄,,,,402,대중제,18,경남,경상남도 통영시 산양읍 영운리 산184-5번지,http://www.dongwonresort.co.kr/,055-640-5000,140000,175000,175000,175000,90000(6/20~),130000
308,309,파가니카,,,,721,대중제,18,강원,강원도 춘천시 남면 소주고개로 145-10번지,http://paganica.kmhleisure.com/Paganica/Default.aspx,033-261-6556,280000,320000,320000,320000,96000,140000
309,310,파나시아(P9),,,,698,대중제,9,충남,충남 당진군 신평면 도성리 460-29번지,http://www.panaceagc.com/,041-350-0900,월별상이,월별상이,월별상이,월별상이,90000,130000
310,311,파라지오,,,,751,대중제,18,경북,경북 의성군 봉양면 농공마전길 167,http://www.paragio.co.kr/,054-833-7100,150000,180000,180000,180000,90000,130000원
311,312,파인밸리,,,,205,대중제,18,강원,강원 삼척시 근덕면 교곡리 445-1,http://www.tyleisure.co.kr/03_pinevalley/main_sub.jsp,033-570-7700,월별상이,월별상이,월별상이,월별상이,90000,130000
312,313,파인비치,,,,184,대중제,27,전남,전라남도 해남군 시아로 224,http://www.pinebeachcc.co.kr/,061-530-7700,240000(금요일 290000),290000,290000,290000,100000,130000
313,314,파인스톤,,,,674,대중제,18,충남,충청남도 당진시 송산면 무수들길 90 파인스톤C.C,http://www.pinestonecc.com/,041-350-0000,월별상이,월별상이,월별상이,월별상이,90000,140000(3부 150000)
314,315,파인크리크,,,,998,대중제,27,경기,경기도 안성시 안성맞춤대로 2417-13,http://www.tyleisure.co.kr/02_pine/main_sub.jsp,031-670-0114,월별상이,월별상이,월별상이,월별상이,90000,150000
315,316,파인힐스,,,,357,대중제,27,전남,전라남도 순천시 주암면 송광사길 99,http://www.pinehills.co.kr/,061-750-9000,125000,165000,165000,165000,100000,130000
316,317,파주,,,,967,대중제,18,경기,경기도 파주시 법원읍 화합로 306,http://paju.kmhleisure.com/paju/Default.aspx,031-959-2905,280000,350000,350000,350000,100000,140000
317,318,파크밸리,,,,202,대중제,18,강원,강원도 원주시 소초면 바우실길 281,http://www.parkvalley.co.kr/,033-744-4000,월별상이,월별상이,월별상이,월별상이,88000,140000
318,319,페럼,,,,876,대중제,18,경기,경기도 여주시 점동면 점동로 181,http://www.ferrumclub.com/,031-887-7000,1부 200000 2부 220000,280000,280000,280000,90000,150000
319,320,펜타뷰(P9),,,,520,대중제,9,경북,경상북도 청도군 금천면 금천로 709,http://www.pentaview.co.kr/,1644-8053,90000(18홀 기준),140000(18홀 기준),140000(18홀 기준),140000(18홀 기준),80000(18홀 기준),130000(18홀 기준)
320,321,포도,,,,158,회원제,27,경북,경상북도 김천시 구성면 송죽리 611-2,http://www.podocc.com/,054-420-0202,월별상이,월별상이,월별상이,월별상이,90000,140000(8/1~)
321,322,포라이즌,승주,,,327,회원제,27,전남,전라남도 순천시 별량면 오실길 333,http://www.sjcc.co.kr/,061-740-8181,월별상이,월별상이,월별상이,월별상이,100000,130000
322,323,포레스트힐(P6),,,1,258,대중제,9,경기,경기도 포천시 화현면 봉화로 253,http://www.foresthill.kr/,031-530-8000,월별상이,월별상이,월별상이,월별상이,(12홀) 60000,노캐디
323,324,포천 회원제,,,,1235,회원제,36,경기,경기도 포천시 영북면 산정리 558 - 1,http://www.montvertcc.com/,031-531-1100,남150000 북170000,남210000 북230000,남210000 북230000,남210000 북230000,80000(2020년 2월부터 90000원),120000
324,325,포천아도니스,,,,445,회원제,27,경기,경기도 포천시 신북면 포천로 2499,http://www.adoniscc.co.kr/,031-530-9110,200000,260000,260000,260000,100000,140000
325,326,포천힐스,,1,1,599,대중제,27,경기,경기 포천시 군내면 상성북리 34번지,http://www.fortunehills.co.kr/,031-538-7000,월별상이,월별상이,월별상이,월별상이,90000,140000
328,329,푸른솔장성,,1,,842,대중제,27,전남,전라남도 장성군 동화면 남산리 874번지 (장성군 동화면 임정로 155),http://www.purunsolgc.co.kr/index.asp,061-399-6000,130000,170000,170000,170000,80000,130000
330,331,푸른솔포천,,1,1,997,대중제,27,경기,경기도 포천시 가산면 금우로 276,http://www.purunsol.co.kr/pochun_new/html/index.asp,031-850-3000,월별상이,월별상이,월별상이,월별상이,90000,140000
333,334,프리스틴밸리,,,1,805,회원제,18,경기,경기도 가평군 설악면 유명로 1243-199,http://pristinevalley.co.kr/,031-589-2000,200000,260000,260000,260000,100000,150000
335,336,프린세스,,,,373,대중제,18,충남,충청남도 공주시 정안면 인풍리 331,http://www.princessgc.co.kr/,041-851-6320,월별상이,월별상이,월별상이,월별상이,80000,140000(5/23~)
336,337,플라자설악,,,1,369,회원제,18,강원,강원도 속초시 미시령로2983번길 111,http://www.plazacc.co.kr/plzcc/irsweb/golf2/course/seorak/seorak_club.do,033-630-5511,180000,220000,220000,220000,100000,140000
338,339,플라자용인,,,,386,회원제,36,경기,경기도 용인시 처인구 남사면 봉무리 257-1,http://www.plazacc.co.kr/,031-333-1144,210000,280000,280000,280000,100000,150000 / 3부 160000
339,340,플라자제주(P9),,,,496,대중제,9,제주,제주특별자치도 제주시 명림로 575-107 한화리조트,http://www.plazacc.co.kr/plzcc/irsweb/golf2/course/jeju/jejuCourse_hole1.do?ccg_hole=1&brch_cd=1100&cors_cd=,064-727-9000,110000,135000,135000,135000,80000,130000
340,341,핀크스,,,,605,회원제,18,제주,제주특별자치도 서귀포시 안덕면 산록남로 863,http://www.thepinx.co.kr/golfclub/,064-792-8000,230000,280000,280000,280000,90000,130000
341,342,필로스,,,,114,대중제,27,경기,경기 포천시 일동면 기산리 산142-1,http://www.philosgc.com/,031-539-8900,210000,280000,280000,280000,90000,140000
344,345,한림광릉,,,,801,회원제,18,경기,경기도 남양주시 진접읍 팔야로 280,http://www.kwangneungcc.co.kr/,031-529-8000,210000,270000,270000,270000,90000,140000
346,347,한맥,,,,254,대중제,18,경북,경상북도 예천군 호명면 한맥골프장길 72,http://www.hmcn.co.kr/index.asp,054-650-7000,130000,190000,190000,190000,90000,140000(3부 150000원)
347,348,한성,,,,338,회원제,27,경기,경기도 용인시 기흥구 구교동로 151,http://www.hansung-cc.co.kr/,02 943 4501,210000,2700000,270000,270000,100000,150000
348,349,한양파인(P9),,,,738,대중제,9,경기,경기도 고양시 덕양구 고양대로 1591,http://www.hypine.co.kr/,031-930-9100,120000,160000,160000,160000,80000,140000
349,350,한원,,1,,115,회원제,27,경기,경기도 용인시 처인구 남사면 전나무골길 2번길 94,http://www.hanwoncc.co.kr/,031-379-8111,200000,260000,260000,260000,90000,12부 140000 / 3부 150000
351,352,해비치 제주,,,,601,회원제,36,제주,제주특별자치도 서귀포시 남원읍 원님로399번길 319,http://www.haevichi.com/ccjeju/ko/,064-766-6200,200000,240000,240000,240000,80000,130000
352,353,해솔리아,,,,141,대중제,27,경기,경기도 용인시 처인구 이동면 백자로 297번길 74,http://www.haesoliacc.co.kr/index.asp,031-321-7755,월별상이,월별상이,월별상이,월별상이,100000,140000 / 3부 150000(정규)
353,354,해운대,,,,636,회원제,27,경남,부산광역시 기장군 정관면 병산2로 265,http://www.haeundaecc.co.kr/,051-726-8000,"1부 165000
2부 180000",220000,220000,220000,90000,130000
354,355,해운대비치,,,,1369,회원제,18,경남,부산광역시 기장군 기장읍 대변로 74,http://www.haeundaebeachcc.com/intro/intro.do,051-726-0707,190000,240000,240000,240000,90000,130000(3부 140000)
355,356,화성(P9),,,,418,대중제,9,경기,경기 화성시 북양동 209번지,http://www.hwaseonggc.com/index1.asp,031-369-8900,130000(18홀),170000(18홀),170000(18홀),170000(18홀),80000원(18홀),140000원(18홀)
356,357,화성상록,,,,419,대중제,27,경기,경기도 화성시 동탄면 풀무골로 60번길 80,http://www.sangnokresort.co.kr/gate.home?cmd=hwaseongGC,031-371-0100,170000,220000,220000,220000,80000,130000
357,358,화순,,,,347,회원제,27,전남,전라남도 화순군 천태로 1000-151,http://www.hwasuncc.co.kr/,061-373-9955,150000,190000,190000,190000,80000,130000
358,359,히든밸리,,,,389,대중제,27,충북,충청북도 진천군 백곡면 소토골길 61,http://www.hiddenvalley.co.kr/,043-539-7900,월별상이,월별상이,월별상이,월별상이,90000,130000(5/20부터 140000)
359,360,힐드로사이,,,1,690,대중제,18,강원,강원도 홍천군 남면 한서로 2840,http://www.hilldeloci.co.kr/index.asp,033-439-3300,월별상이,월별상이,월별상이,월별상이,100000,140000
361,362,힐마루,,,,497,회원제,36,경남,경상남도 창녕군 장마면 영산계성로 469-195,http://www.hillmaru.com/,055-520-8000,월별상이,월별상이,월별상이,월별상이,90000,130000
